Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
95000	-91.42306	-122.4572	31.03417	10	0.2601987	0.0795549	0.0199647	0.0574935	0.00509853	0.0201075	0.0528303	0.294117	0.00741608	0.0183681	0.131908	0.165396	0.00262154	0.0741478	0.522505	3.40073	5	0.8522551
96000	-93.94268	-122.3645	28.42187	10	0.2752105	0.017301	0.087839	0.00991534	0.111053	0.0277509	0.0398114	0.0872675	0.0809524	0.257765	0.324945	0.0885387	0.00350029	0.0854084	0.551726	3.35937	5	1.133139
97000	-90.17582	-122.5605	32.38469	10	1.10672	0.0144786	0.0322733	0.00714158	0.0139899	0.132889	0.0417486	0.157006	0.151521	0.145942	0.0590377	0.0756161	0.157742	0.506636	1.01565	2.31997	5	0.8316442
98000	-95.97757	-120.4794	24.50183	10	1.449547	0.0790043	0.00812893	0.0794686	0.0742184	0.0976046	0.0297142	0.282424	0.209326	0.31011	0.0668851	0.0235995	0.217422	0.579937	1.04732	2.15532	5	1.260484
99000	-97.43987	-127.7192	30.2793	10	0.06516377	0.0480979	0.109381	0.0268039	0.0782185	0.0193614	0.00827467	0.253009	0.347635	0.044601	0.230573	0.0143936	3.20101e-10	2.66629e-05	0.0201941	3.97978	5	1.180349
100000	-93.06465	-122.5893	29.52465	10	0.3664321	0.0112179	0.0142619	0.0944323	7.64777e-05	0.0219854	0.0251285	0.259339	0.0542827	0.194278	0.181436	0.048104	0.0121844	0.156273	0.692242	3.1393	5	0.9045428
101000	-97.01568	-120.0275	23.01182	10	1.935614	0.121398	0.0108942	0.0677848	0.0363247	0.0111086	0.0416165	0.458099	0.234398	0.126933	0.249583	0.0640545	0.285466	0.647988	1.06829	1.99826	5	1.422195
102000	-88.09703	-125.779	37.682	10	0.5753859	0.0605072	0.0271733	0.0426463	0.0601827	0.0105759	0.0907138	0.101606	0.088138	0.0554512	0.0873532	0.0601325	0.0480744	0.29831	0.868222	2.78539	5	0.6844803
103000	-95.52527	-123.6006	28.07532	10	0.9488149	0.136651	5.35691e-05	0.0143477	0.10321	0.0460451	0.0748194	0.232806	0.0719237	0.15736	0.27588	0.141392	0.126631	0.460807	0.990973	2.42159	5	1.254488
104000	-94.14711	-120.7329	26.58576	10	1.543281	0.0853587	0.00198033	0.00254691	0.0242791	0.00696044	0.0806124	0.176383	0.1598	0.286243	0.309079	0.124779	0.231932	0.595605	1.05287	2.1196	5	1.258023
